person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_grade_encoded,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE
-0.4059747,-0.6158485,-0.06598359,0.12188705,-0.26775056,-0.96008277,-0.017087722,0.061792307,-0.7456017,-0.0013470906,0.12598963,-0.68562365,0.09784932,0.65451926,-0.06564421,0.02925806,0.3498127
-0.13510726,-0.82690805,-0.39398935,0.897466,0.036341976,-0.30086344,0.032696284,0.08300645,2.0556464,-0.002259101,0.11584435,-0.43787512,0.2631935,0.18660226,-0.11713063,0.28893682,-2.0691113
0.07562356,-1.9064207,0.27009526,1.1330261,0.18377349,-0.4084068,-0.0039678416,-0.04633682,-2.7050457,-0.0013312208,0.08875382,-0.39891422,0.15395094,-0.12088688,-0.0013581897,0.061383627,-2.6287665
-0.020767588,-1.0121757,0.048803747,0.8778815,0.90148896,-0.43471944,0.020119496,0.08802027,3.1685987,-0.0017007085,0.058127437,-0.31178322,0.60548764,0.43094632,0.06810842,0.5898239,0.4323802
0.13828994,9.20315,-0.14305447,-0.37395582,0.15114623,2.059485,-0.005870806,-0.054440934,-0.3056074,-0.0006266961,-2.0302362,-0.28358182,0.15310411,-0.1522916,-0.018867822,0.03822254,0.09041466
0.021695368,-1.3843321,-0.2573268,1.1815196,0.20029454,-0.71136826,-0.1522521,0.16775852,-0.73624647,-0.0013431094,0.10621109,-0.4123682,-0.5953182,-0.20040284,-0.003956241,0.058639262,0.33296907
0.46838814,0.8016656,-0.12481586,0.21095778,-0.17636658,6.6505,0.009593548,-0.022180405,-0.85712516,-0.002870898,0.09055807,2.9423156,0.12424921,-0.10387053,0.001913429,0.013638228,-1.1486193
-0.056002427,-0.27420437,0.029455751,-0.5302873,-0.15960541,-0.8435476,-0.031933434,-0.015588067,-0.96212816,-0.0014219279,0.102012835,0.12818481,0.060796265,-0.08177823,-0.16496323,0.040458255,0.34830073
-0.26557863,-1.3492227,0.61852723,-0.09689647,0.27484736,-0.36300892,0.071516395,-0.057193782,-0.693907,-5.722492e-05,0.11201445,0.24631329,-0.628432,-0.21587399,0.0166556,0.053978004,0.07715334
0.15887596,1.1891454,-0.15419827,0.5481569,-0.35006478,-1.2075738,-0.01393672,-0.008443934,-0.9918755,-0.0010486061,0.10490677,0.29346213,0.11154548,-0.21091515,-0.013368285,0.086148135,0.35636637
-0.8298528,-0.40076497,0.06564025,-0.08786484,-0.542893,-0.12285435,-0.060613446,0.3509509,-1.3841501,-0.0008866194,-4.5019283,-0.45729676,0.08806728,0.01306819,-0.033448555,-0.08221968,0.30762154
-0.0329212,-2.2095902,0.03161379,0.15449163,-1.8143413,-0.863385,-0.046099313,-0.4128058,-0.783868,-0.0024806494,0.07561447,0.40803877,0.054642208,-0.047171462,-0.014126909,-0.2725233,0.3037725
-0.15307462,0.10226283,-0.11622677,-0.16973521,-1.2042627,-0.68743134,-0.04634312,-0.10911801,-1.0016218,-0.002544486,0.0956856,-0.22043006,0.050900366,-0.027259618,0.08226656,0.061727967,0.3566979
-0.02016918,1.7954745,-0.20187917,-0.6053402,0.21705484,-0.4885595,-0.00037635682,-0.15854222,-0.5948028,-0.0005554063,0.10756393,0.30756497,0.11317954,-0.1768296,0.0484518,-0.19915956,0.32144263
0.11966011,-1.2171651,-0.21332107,-0.45286995,-0.029173516,0.08523927,-0.017627163,-0.03472332,-1.1582539,-0.00050541747,0.1019519,-0.28590566,0.16555761,-0.2233068,-0.029181534,0.047014724,0.35632044
0.025474364,0.7507118,0.08104953,-0.41090745,-0.59573776,-0.58384633,-0.022061503,-0.01386485,-0.92922723,-0.001404133,0.10207591,-0.31065455,0.08646482,-0.04713456,0.024913367,0.03333532,0.35467502
-0.17012993,0.86361593,-0.15954603,0.5249453,-1.7402058,2.5671496,-0.01189721,-0.04170078,-1.7398183,-0.010704466,0.19505216,-2.522338,0.028915893,-0.029696302,0.015754016,0.045130044,-1.913039
-0.27369422,-0.64185566,0.1541799,0.5102059,0.088680916,-0.93350714,-0.025086671,-0.17223465,-2.6605625,-0.0016891145,0.080611706,-0.44062603,0.11220161,-0.16204663,-0.01048937,0.0476161,-2.9692483
0.4593664,1.7302496,-0.15654472,-0.5787883,0.49359018,-0.79111654,0.0018384352,0.02693555,-0.83299565,-0.00052495074,0.11169073,0.20068225,0.13985787,-0.359339,-0.04784506,0.036430668,0.3278338
0.14917435,-2.049291,-0.18391089,-0.069689065,-0.004365534,-0.44587752,0.0025217093,0.021629415,-0.36785537,-0.001814467,0.11631347,-0.30654684,0.17226993,-0.22277866,-0.041841976,-0.2552626,0.083624154
0.10210762,0.118247844,0.11323924,-0.6748128,-0.10908851,-0.40939385,-0.1558053,-0.05556686,-0.72257537,-0.00043635617,0.11869806,0.39175206,-0.713364,-0.3745602,-0.03963285,-0.0059505114,0.1019511
-0.15800832,-1.355351,-0.41460532,0.14025994,-1.7595836,-0.34582302,-0.028185844,-0.18904974,-0.76200837,-0.0013246953,0.08677989,-0.3614427,-0.42694607,-0.23220468,0.00414233,-0.0267268,0.31123912
0.2208743,-0.25504103,0.054360915,0.005130412,-0.6359447,-0.74830383,-0.0011123008,0.006048177,-2.5247502,-0.001250653,0.086397015,-0.37655896,0.089928634,-0.1648111,-0.0304212,0.03464363,-3.2116365
0.2408945,0.9174902,-0.100018226,0.19475439,-0.2115723,4.9952507,-0.0010943376,0.090371534,-0.620225,-0.003395999,0.10369042,2.2450042,0.105118826,-0.22718248,0.029651668,0.027764052,0.13830245
0.06269743,-1.343683,-0.13143425,-0.5876106,-0.3689292,-0.6477313,-0.08007452,0.09789432,-0.784723,-0.0020371396,0.0858923,-0.27561334,0.13625433,-0.20766349,-0.006719987,0.021823982,0.34850428
-0.15608473,-0.47458524,-0.67745656,1.6769404,0.42075714,-0.11662487,0.17953582,0.43245828,3.5143867,-0.0019574906,0.055505365,0.5925109,0.499646,0.43960327,0.105108365,0.5896339,0.4108895
-0.2784362,-1.0821394,-0.02003071,-0.23453987,-0.2529512,-0.28467476,-0.07508754,0.026161201,-2.528271,-0.0011539737,0.08528309,-0.3145014,0.060143054,0.0042400486,0.010423064,0.040509164,-2.897676
-0.24477835,-2.83847,-0.03483315,0.46781594,-0.17020261,-0.30689502,0.06474422,-0.0068563595,-0.18553475,-0.0018061236,0.113417484,-0.34527186,0.11548906,0.43884847,0.0013337383,0.10479887,0.1329576
-0.45496947,-0.27875865,0.8641951,-0.38275337,0.5943525,-0.51735795,0.13847893,0.07655134,3.783689,-0.0021232206,0.13583602,0.7515103,0.40289262,0.36977774,0.12651615,0.3883446,0.2854681
-0.23499481,-0.07338931,1.3936261,-0.12007472,0.015243041,-0.56555414,0.11613835,-0.08934007,3.1227002,-0.0019459074,0.13476911,1.1710287,0.15720968,-0.12712318,0.096582524,0.16155992,0.18663466
-0.03626249,-2.1604507,0.62719774,0.94810236,0.23871665,-0.27248228,-0.015707672,-0.0020661429,2.5231957,-0.0012664872,0.069484666,-1.2276034,-1.5786741,0.115867525,-0.13345864,0.16672483,0.16912678
-0.17094855,-0.6409134,2.116,-0.02919241,-0.17595555,-0.36820304,0.019278787,0.04725678,3.3546672,-0.0016420326,0.12646693,1.2893046,0.20437989,0.09007501,0.025603574,-1.1613147,0.19152783
